   dur         receiveBufSize
475154us          95items
593505us          98items
476199us          97items
654377us          102items
476331us          195items
618339us          194items
476441us          193items
584079us          253items
479791us          291items
485017us          290items
646127us          289items
475954us          384items
627031us          387items
476461us          386items
637864us          388items
476153us          484items
591566us          483items
475578us          482items
480908us          531items
539516us          580items
484003us          579items
619990us          578items
492003us          658items
624004us          676items
484002us          675items
520029us          674items
559972us          769items
496071us          772items
636034us          771items
476239us          805items
473856us          869items
482186us          868items
473941us          867items
596718us          875items
474524us          965items
633852us          964items
475174us          963items
645402us          1019items
492001us          1051items
484025us          1040items
543706us          1029items
488268us          1018items
492003us          1007items
484000us          996items
664000us          985items
484000us          974items
560009us          963items
491988us          952items
491999us          941items
508005us          930items
491999us          919items
576031us          908items
491971us          897items
487996us          886items
492001us          875items
483999us          864items
500023us          853items
503976us          842items
492001us          831items
532003us          820items
491999us          809items
564002us          798items
499994us          787items
488013us          776items
507989us          765items
484002us          754items
492496us          743items
487499us          732items
492015us          721items
516676us          710items
491312us          699items
492000us          688items
492000us          677items
492019us          666items
505911us          655items
477769us          644items
604304us          633items
487996us          622items
488868us          611items
480340us          600items
537436us          589items
546856us          578items
477850us          567items
544655us          556items
487717us          545items
586776us          534items
484279us          523items
477289us          512items
503938us          501items
496000us          490items
631997us          479items
496004us          468items
648008us          457items
487989us          446items
628003us          435items
499995us          424items
565994us          413items
514775us          402items
487192us          391items
531419us          380items
478343us          369items
476915us          359items
478264us          349items
477553us          339items
543287us          329items
481317us          319items
539019us          309items
477413us          299items
488643us          289items
507869us          279items
487996us          269items
648000us          259items
492000us          249items
609283us          239items
495804us          229items
645980us          219items
482064us          209items
593086us          199items
478765us          189items
477501us          179items
640105us          169items
478172us          159items
596879us          149items
479594us          139items
654006us          129items
487410us          119items
568702us          109items
485120us          99items
478338us          89items
547929us          79items
478982us          69items
484828us          59items
478817us          49items
486865us          39items
479909us          29items
480192us          19items
478519us          9items
